UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
garychen  1664  1453  1664  0    4 18:21 ?        00:00:00 nm-applet
garychen  1664  1453  1778  0    4 18:21 ?        00:00:00 nm-applet
garychen  1664  1453  1779  0    4 18:21 ?        00:00:00 nm-applet
garychen  1664  1453  1781  0    4 18:21 ?        00:00:00 nm-applet
garychen  1705  1630  1705  0    7 18:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1630x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1630/2
garychen  1705  1630  1709  0    7 18:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1630x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1630/2
garychen  1705  1630  1710  0    7 18:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1630x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1630/2
garychen  1705  1630  1711  0    7 18:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1630x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1630/2
garychen  1705  1630  1714  0    7 18:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1630x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1630/2
garychen  1705  1630  1718  0    7 18:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1630x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1630/2
garychen  1705  1630  1721  0    7 18:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1630x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1630/2
garychen  1720  1630  1720  0    5 18:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1630x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1630/3
garychen  1720  1630  1736  0    5 18:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1630x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1630/3
garychen  1720  1630  1737  0    5 18:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1630x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1630/3
garychen  1720  1630  1739  0    5 18:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1630x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1630/3
garychen  1720  1630  1740  0    5 18:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1630x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1630/3
garychen  1722  1123  1722  0    5 18:21 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory
garychen  1722  1123  1723  0    5 18:21 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory
garychen  1722  1123  1725  0    5 18:21 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory
garychen  1722  1123  1734  0    5 18:21 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory
garychen  1722  1123  1735  0    5 18:21 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory
garychen  1726  1123  1726  0    3 18:21 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
garychen  1726  1123  1729  0    3 18:21 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
garychen  1726  1123  1730  0    3 18:21 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
root      1738     1  1738  0    5 18:21 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
root      1738     1  1741  0    5 18:21 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
root      1738     1  1743  0    5 18:21 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
root      1738     1  1746  0    5 18:21 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
root      1738     1  1752  0    5 18:21 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
garychen  1747  1722  1747  0    5 18:21 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx1722x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/1722/2
garychen  1747  1722  1756  0    5 18:21 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx1722x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/1722/2
garychen  1747  1722  1759  0    5 18:21 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx1722x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/1722/2
garychen  1747  1722  1762  0    5 18:21 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx1722x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/1722/2
garychen  1747  1722  1763  0    5 18:21 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx1722x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/1722/2
garychen  1760  1123  1760  0    4 18:21 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
garychen  1760  1123  1761  0    4 18:21 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
garychen  1760  1123  1764  0    4 18:21 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
garychen  1760  1123  1766  0    4 18:21 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
garychen  1769  1123  1769  0    3 18:21 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
garychen  1769  1123  1770  0    3 18:21 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
garychen  1769  1123  1772  0    3 18:21 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
garychen  1773  1123  1773  0    3 18:21 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
garychen  1773  1123  1775  0    3 18:21 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
garychen  1773  1123  1777  0    3 18:21 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
garychen  1780  1123  1780  0    3 18:21 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
garychen  1780  1123  1782  0    3 18:21 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
garychen  1780  1123  1783  0    3 18:21 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
garychen  1805  1123  1805  0    3 18:21 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.7 /org/gtk/gvfs/exec_spaw/0
garychen  1805  1123  1806  0    3 18:21 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.7 /org/gtk/gvfs/exec_spaw/0
garychen  1805  1123  1807  0    3 18:21 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.7 /org/gtk/gvfs/exec_spaw/0
garychen  1817  1123  1817  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/hud-service
garychen  1817  1123  1818  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/hud-service
garychen  1817  1123  1821  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/hud-service
garychen  1817  1123  1822  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/hud-service
root      1827     1  1827  0    5 18:21 ?        00:00:00 /usr/lib/fwupd/fwupd
root      1827     1  1828  0    5 18:21 ?        00:00:00 /usr/lib/fwupd/fwupd
root      1827     1  1835  0    5 18:21 ?        00:00:00 /usr/lib/fwupd/fwupd
root      1827     1  1836  0    5 18:21 ?        00:00:00 /usr/lib/fwupd/fwupd
root      1827     1  1839  0    5 18:21 ?        00:00:00 /usr/lib/fwupd/fwupd
garychen  1831  1123  1831  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-scope-home/unity-scope-home
garychen  1831  1123  1832  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-scope-home/unity-scope-home
garychen  1831  1123  1833  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-scope-home/unity-scope-home
garychen  1831  1123  1834  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-scope-home/unity-scope-home
garychen  1844  1123  1844  0    4 18:21 ?        00:00:00 /usr/bin/unity-scope-loader applications/applications.scope applications/scopes.scope commands.scope
garychen  1844  1123  1846  0    4 18:21 ?        00:00:00 /usr/bin/unity-scope-loader applications/applications.scope applications/scopes.scope commands.scope
garychen  1844  1123  1847  0    4 18:21 ?        00:00:00 /usr/bin/unity-scope-loader applications/applications.scope applications/scopes.scope commands.scope
garychen  1844  1123  1848  0    4 18:21 ?        00:00:00 /usr/bin/unity-scope-loader applications/applications.scope applications/scopes.scope commands.scope
garychen  1845  1123  1845  0    5 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-lens-files/unity-files-daemon
garychen  1845  1123  1849  0    5 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-lens-files/unity-files-daemon
garychen  1845  1123  1850  0    5 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-lens-files/unity-files-daemon
garychen  1845  1123  1851  0    5 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-lens-files/unity-files-daemon
garychen  1845  1123  1872  0    5 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-lens-files/unity-files-daemon
garychen  1858  1123  1858  0    3 18:21 ?        00:00:00 /usr/bin/zeitgeist-daemon
garychen  1858  1123  1861  0    3 18:21 ?        00:00:00 /usr/bin/zeitgeist-daemon
garychen  1858  1123  1862  0    3 18:21 ?        00:00:00 /usr/bin/zeitgeist-daemon
garychen  1866  1123  1866  0    3 18:21 ?        00:00:00 /usr/lib/zeitgeist/zeitgeist/zeitgeist-fts
garychen  1866  1123  1867  0    3 18:21 ?        00:00:00 /usr/lib/zeitgeist/zeitgeist/zeitgeist-fts
garychen  1866  1123  1868  0    3 18:21 ?        00:00:00 /usr/lib/zeitgeist/zeitgeist/zeitgeist-fts
garychen  1871  1123  1871  0    4 18:21 ?        00:00:00 zeitgeist-datahub
garychen  1871  1123  1873  0    4 18:21 ?        00:00:00 zeitgeist-datahub
garychen  1871  1123  1875  0    4 18:21 ?        00:00:00 zeitgeist-datahub
garychen  1871  1123  1876  0    4 18:21 ?        00:00:00 zeitgeist-datahub
garychen  1977  1453  1977  0    4 18:22 ?        00:00:00 update-notifier
garychen  1977  1453  1980  0    4 18:22 ?        00:00:00 update-notifier
garychen  1977  1453  1981  0    4 18:22 ?        00:00:00 update-notifier
garychen  1977  1453  1982  0    4 18:22 ?        00:00:00 update-notifier
garychen  2020  1123  2020  0    3 18:22 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
garychen  2020  1123  2021  0    3 18:22 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
garychen  2020  1123  2022  0    3 18:22 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
garychen  2038  1453  2038  0    4 18:23 ?        00:00:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
garychen  2038  1453  2041  0    4 18:23 ?        00:00:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
garychen  2038  1453  2042  0    4 18:23 ?        00:00:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
garychen  2038  1453  2043  0    4 18:23 ?        00:00:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
garychen  2625  1123  2625  0    4 19:32 ?        00:00:09 /usr/lib/gnome-terminal/gnome-terminal-server
garychen  2625  1123  2626  0    4 19:32 ?        00:00:00 /usr/lib/gnome-terminal/gnome-terminal-server
garychen  2625  1123  2627  0    4 19:32 ?        00:00:00 /usr/lib/gnome-terminal/gnome-terminal-server
garychen  2625  1123  2628  0    4 19:32 ?        00:00:00 /usr/lib/gnome-terminal/gnome-terminal-server
garychen  2634  2625  2634  0    1 19:32 pts/0    00:00:00 bash
root      3181     2  3181  0    1 20:52 ?        00:00:00 [kworker/0:1]
root      3247     2  3247  0    1 20:58 ?        00:00:00 [kworker/u2:1]
garychen  3291  2625  3291  0    1 21:02 pts/1    00:00:00 bash
root      3305     2  3305  0    1 21:03 ?        00:00:00 [kworker/u2:2]
root      3317     2  3317  0    1 21:04 ?        00:00:00 [kworker/0:0]
garychen  3358  1123  3358  1    4 21:08 ?        00:00:02 gedit /home/garychen/Documents/es/2week/test/psOutput.log
garychen  3358  1123  3360  0    4 21:08 ?        00:00:00 gedit /home/garychen/Documents/es/2week/test/psOutput.log
garychen  3358  1123  3361  0    4 21:08 ?        00:00:00 gedit /home/garychen/Documents/es/2week/test/psOutput.log
garychen  3358  1123  3362  0    4 21:08 ?        00:00:00 gedit /home/garychen/Documents/es/2week/test/psOutput.log
root      3368     2  3368  0    1 21:09 ?        00:00:00 [kworker/u2:0]
garychen  3383  2634  3383  0    3 21:11 pts/0    00:00:00 ./thread-ex
garychen  3383  2634  3384  0    3 21:11 pts/0    00:00:00 ./thread-ex
garychen  3383  2634  3385  0    3 21:11 pts/0    00:00:00 ./thread-ex
garychen  3386  3291  3386  0    1 21:11 pts/1    00:00:00 ps -eLf
