UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
root       621     1   621  0    1 18:20 ?        00:00:00 /usr/sbin/acpid
root       622     1   622  0    3 18:20 ?        00:00:00 /usr/sbin/ModemManager
root       622     1   741  0    3 18:20 ?        00:00:00 /usr/sbin/ModemManager
root       622     1   771  0    3 18:20 ?        00:00:00 /usr/sbin/ModemManager
message+   623     1   623  0    1 18:20 ?        00:00:01 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root       681     1   681  0    1 18:20 ?        00:00:00 /usr/sbin/cupsd -l
root       682     1   682  0    3 18:20 ?        00:00:00 /usr/sbin/cups-browsed
root       682     1   801  0    3 18:20 ?        00:00:00 /usr/sbin/cups-browsed
root       682     1   802  0    3 18:20 ?        00:00:00 /usr/sbin/cups-browsed
root       683     1   683  0    1 18:20 ?        00:00:00 /usr/sbin/cron -f
root       684     1   684  0    3 18:20 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root       684     1   779  0    3 18:20 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root       684     1   782  0    3 18:20 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root       685     1   685  0    1 18:20 ?        00:00:00 /lib/systemd/systemd-logind
root       696     1   696  0    8 18:20 ?        00:00:00 /usr/lib/snapd/snapd
root       696     1   766  0    8 18:20 ?        00:00:00 /usr/lib/snapd/snapd
root       696     1   767  0    8 18:20 ?        00:00:00 /usr/lib/snapd/snapd
root       696     1   768  0    8 18:20 ?        00:00:00 /usr/lib/snapd/snapd
root       696     1   781  0    8 18:20 ?        00:00:00 /usr/lib/snapd/snapd
root       696     1  1628  0    8 18:21 ?        00:00:00 /usr/lib/snapd/snapd
root       696     1  2191  0    8 18:30 ?        00:00:00 /usr/lib/snapd/snapd
root       696     1  2242  0    8 18:46 ?        00:00:00 /usr/lib/snapd/snapd
root       774     1   774  0    3 18:20 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root       774     1   785  0    3 18:20 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root       774     1   787  0    3 18:20 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root       775     1   775  0    3 18:20 ?        00:00:00 /usr/lib/upower/upowerd
root       775     1   797  0    3 18:20 ?        00:00:00 /usr/lib/upower/upowerd
root       775     1   798  0    3 18:20 ?        00:00:00 /usr/lib/upower/upowerd
lp         783   681   783  0    1 18:20 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
lp         784   681   784  0    1 18:20 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
systemd+   870     1   870  0    1 18:20 ?        00:00:02 /lib/systemd/systemd-resolved
root       879     1   879  0    3 18:20 ?        00:00:00 /usr/sbin/lightdm
root       879     1   882  0    3 18:20 ?        00:00:00 /usr/sbin/lightdm
root       879     1   887  0    3 18:20 ?        00:00:00 /usr/sbin/lightdm
root       896   684   896  0    1 18:20 ?        00:00:00 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /var/run/dhclient-enp0s3.pid -lf /var/lib/NetworkManager/dhclient-b5da0241-a46e-3828-8a89-3c024f1c4fdd-enp0s3.lease -cf /var/lib/NetworkManager/dhclient-enp0s3.conf enp0s3
root       920   879   920  4    2 18:20 tty7     00:07:49 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root       920   879   979  0    2 18:20 tty7     00:00:14 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root       926     1   926  0    1 18:20 tty1     00:00:00 /sbin/agetty --noclear tty1 linux
rtkit     1086     1  1086  0    3 18:20 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
rtkit     1086     1  1087  0    3 18:20 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
rtkit     1086     1  1088  0    3 18:20 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
colord    1095     1  1095  0    3 18:20 ?        00:00:00 /usr/lib/colord/colord
colord    1095     1  1096  0    3 18:20 ?        00:00:00 /usr/lib/colord/colord
